LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
010623,ALBANY,NORTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,94,15.5%,78,12.9%,172,28.4%,ELEMENTARY,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,NY,12110,"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
010623,ALBANY,NORTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,143,16.9%,147,17.3%,290,34.2%,MIDDLE/HIGH,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,NY,12110,"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
010701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,12,17.6%,19,27.9%,31,45.6%,DISTRICT TOTAL,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
010701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,,,15,35.7%,15,35.7%,ELEMENTARY,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
010701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,"171 HUDSON AVE
GREEN ISLAND, NY 12183
(42.74619105800048, -73.69017488899965)"
010802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,192,13%,193,13.1%,385,26.1%,DISTRICT TOTAL,SCHOOL DISTRICT,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085,"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
010802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,103,12.6%,113,13.8%,216,26.4%,ELEMENTARY,SCHOOL DISTRICT,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085,"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
010802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,89,13.6%,80,12.2%,169,25.8%,MIDDLE/HIGH,SCHOOL DISTRICT,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085,"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
020101,ALLEGANY,ALFRED ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,35,21.1%,25,15.1%,60,36.1%,DISTRICT TOTAL,SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
020101,ALLEGANY,ALFRED ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,21,21.9%,9,9.4%,30,31.3%,ELEMENTARY,SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
020101,ALLEGANY,ALFRED ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,14,20.9%,13,19.4%,27,40.3%,MIDDLE/HIGH,SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
021102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,7,14.3%,15,30.6%,22,44.9%,DISTRICT TOTAL,SCHOOL DISTRICT,4-8 MAIN ST,CANASERAGA,NY,14822,"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
021102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,,,,,,,ELEMENTARY,SCHOOL DISTRICT,4-8 MAIN ST,CANASERAGA,NY,14822,"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
021102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,,,5,38.5%,5,38.5%,MIDDLE/HIGH,SCHOOL DISTRICT,4-8 MAIN ST,CANASERAGA,NY,14822,"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
021601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,27,17.5%,29,18.8%,56,36.4%,DISTRICT TOTAL,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
021601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,24,21.4%,15,13.4%,39,34.8%,ELEMENTARY,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
021601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,,,5,19.2%,5,19.2%,MIDDLE/HIGH,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
022101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,16,20.8%,14,18.2%,30,39%,DISTRICT TOTAL,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,NY,14897,"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
022101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,8,22.2%,5,13.9%,13,36.1%,ELEMENTARY,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,NY,14897,"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
022101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,8,33.3%,,,8,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,NY,14897,"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
022601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,72,16.3%,84,19%,156,35.4%,DISTRICT TOTAL,SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
022601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,43,15.8%,44,16.1%,87,31.9%,ELEMENTARY,SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
022601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,29,18%,40,24.8%,69,42.9%,MIDDLE/HIGH,SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
022902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,59,16.6%,52,14.6%,111,31.3%,DISTRICT TOTAL,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
022902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,26,11.6%,31,13.8%,57,25.4%,ELEMENTARY,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
022902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,33,25.6%,19,14.7%,52,40.3%,MIDDLE/HIGH,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
030101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,83,14.3%,116,20%,199,34.4%,DISTRICT TOTAL,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,NY,13901,"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
030101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,51,15%,61,17.9%,112,32.8%,ELEMENTARY,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,NY,13901,"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
030101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,32,13.8%,55,23.7%,87,37.5%,MIDDLE/HIGH,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,NY,13901,"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
030200,BROOME,BINGHAMTON CITY SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,383,19.6%,440,22.5%,823,42.1%,DISTRICT TOTAL,SCHOOL DISTRICT,164 HAWLEY ST,BINGHAMTON,NY,13901,"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
030200,BROOME,BINGHAMTON CITY SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,254,20.5%,264,21.3%,518,41.8%,ELEMENTARY,SCHOOL DISTRICT,164 HAWLEY ST,BINGHAMTON,NY,13901,"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
030200,BROOME,BINGHAMTON CITY SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,129,18.1%,176,24.6%,305,42.7%,MIDDLE/HIGH,SCHOOL DISTRICT,164 HAWLEY ST,BINGHAMTON,NY,13901,"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
030501,BROOME,HARPURSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,72,20.8%,79,22.8%,151,43.6%,DISTRICT TOTAL,SCHOOL DISTRICT,54 MAIN ST,HARPURSVILLE,NY,13787,"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
030501,BROOME,HARPURSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,51,24.5%,42,20.2%,93,44.7%,ELEMENTARY,SCHOOL DISTRICT,54 MAIN ST,HARPURSVILLE,NY,13787,"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
030501,BROOME,HARPURSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,21,15.2%,37,26.8%,58,42%,MIDDLE/HIGH,SCHOOL DISTRICT,54 MAIN ST,HARPURSVILLE,NY,13787,"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
030601,BROOME,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,85,16.6%,97,19%,182,35.6%,DISTRICT TOTAL,SCHOOL DISTRICT,1040 CONKLIN RD,CONKLIN,NY,13748,"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
030601,BROOME,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,46,15.6%,51,17.3%,97,33%,ELEMENTARY,SCHOOL DISTRICT,1040 CONKLIN RD,CONKLIN,NY,13748,"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
030601,BROOME,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,39,18.1%,46,21.3%,85,39.4%,MIDDLE/HIGH,SCHOOL DISTRICT,1040 CONKLIN RD,CONKLIN,NY,13748,"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
030701,BROOME,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,88,15.1%,114,19.5%,202,34.6%,DISTRICT TOTAL,SCHOOL DISTRICT,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
030701,BROOME,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,46,13.9%,56,16.9%,102,30.7%,ELEMENTARY,SCHOOL DISTRICT,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
030701,BROOME,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,42,17%,58,23.5%,100,40.5%,MIDDLE/HIGH,SCHOOL DISTRICT,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
031701,BROOME,WINDSOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,98,15.2%,126,19.6%,224,34.8%,DISTRICT TOTAL,SCHOOL DISTRICT,1191 NY RT 79,WINDSOR,NY,13865,"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
031701,BROOME,WINDSOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,54,13.9%,65,16.7%,119,30.6%,ELEMENTARY,SCHOOL DISTRICT,1191 NY RT 79,WINDSOR,NY,13865,"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
031701,BROOME,WINDSOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,44,17.5%,61,24.2%,105,41.7%,MIDDLE/HIGH,SCHOOL DISTRICT,1191 NY RT 79,WINDSOR,NY,13865,"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
040302,CATTARAUGUS,ALLEGANY-LIMESTONE CSD,WESTERN NEW YORK,2012-2013,94,16.8%,91,16.3%,185,33.1%,DISTRICT TOTAL,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
040302,CATTARAUGUS,ALLEGANY-LIMESTONE CSD,WESTERN NEW YORK,2012-2013,69,17.4%,56,14.1%,125,31.6%,ELEMENTARY,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
040302,CATTARAUGUS,ALLEGANY-LIMESTONE CSD,WESTERN NEW YORK,2012-2013,25,15.3%,35,21.5%,60,36.8%,MIDDLE/HIGH,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
040901,CATTARAUGUS,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,49,21.2%,40,17.3%,89,38.5%,DISTRICT TOTAL,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
040901,CATTARAUGUS,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,30,20.3%,23,15.5%,53,35.8%,ELEMENTARY,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
040901,CATTARAUGUS,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,15,19.5%,15,19.5%,30,39%,MIDDLE/HIGH,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
041401,CATTARAUGUS,HINSDALE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,38,19.5%,33,16.9%,71,36.4%,DISTRICT TOTAL,SCHOOL DISTRICT,3701 MAIN ST,HINSDALE,NY,14743,"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
041401,CATTARAUGUS,HINSDALE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,24,17%,19,13.5%,43,30.5%,ELEMENTARY,SCHOOL DISTRICT,3701 MAIN ST,HINSDALE,NY,14743,"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
041401,CATTARAUGUS,HINSDALE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,10,21.7%,14,30.4%,24,52.2%,MIDDLE/HIGH,SCHOOL DISTRICT,3701 MAIN ST,HINSDALE,NY,14743,"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
042400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2012-2013,153,19.6%,154,19.8%,307,39.4%,DISTRICT TOTAL,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
042400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2012-2013,87,19.4%,85,18.9%,172,38.3%,ELEMENTARY,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
042400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2012-2013,66,20%,69,20.9%,135,40.9%,MIDDLE/HIGH,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
043001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,49,15.6%,54,17.2%,103,32.8%,DISTRICT TOTAL,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
043001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,24,14.2%,25,14.8%,49,29%,ELEMENTARY,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
043001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,25,17.1%,29,19.9%,54,37%,MIDDLE/HIGH,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
043200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,83,15.7%,111,20.9%,194,36.6%,DISTRICT TOTAL,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
043200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,54,15.1%,75,21%,129,36.1%,ELEMENTARY,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
043200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,29,17.2%,36,21.3%,65,38.5%,MIDDLE/HIGH,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
050301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,44,15.8%,49,17.6%,93,33.5%,DISTRICT TOTAL,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
050301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,25,14.9%,27,16.1%,52,31%,ELEMENTARY,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
050301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,16,15%,22,20.6%,38,35.5%,MIDDLE/HIGH,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
050401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,33,8.6%,49,12.8%,82,21.5%,DISTRICT TOTAL,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"2851 NYS RT 370
CATO, NY 13033
(43.18320840500047, -76.56267833699962)"
050401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,8,3.4%,23,9.8%,31,13.2%,ELEMENTARY,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"2851 NYS RT 370
CATO, NY 13033
(43.18320840500047, -76.56267833699962)"
050401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,22,15.8%,26,18.7%,48,34.5%,MIDDLE/HIGH,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"2851 NYS RT 370
CATO, NY 13033
(43.18320840500047, -76.56267833699962)"
051301,CAYUGA,MORAVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,51,22%,50,21.6%,101,43.5%,DISTRICT TOTAL,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"68 S MAIN ST
MORAVIA, NY 13118
(42.70701232400046, -76.42085348599966)"
051301,CAYUGA,MORAVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,51,21.9%,50,21.5%,101,43.3%,ELEMENTARY,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"68 S MAIN ST
MORAVIA, NY 13118
(42.70701232400046, -76.42085348599966)"
